"Date","Team","Opp","GS","W","L","ERA","G","GS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","GSv2"
"2014-08-26","SEA","TEX","1","1","0","0.00","1","1","0","0","0","0","0","6.2","26","4","0","0","0","3","0","0","0","0","4","67"
"2014-08-20","SEA","@PHI","1","0","1","2.25","1","1","0","0","0","0","0","4.0","22","7","4","1","0","2","0","0","1","0","5","36"
"2014-08-15","SEA","@DET","1","1","0","1.50","1","1","0","0","0","0","0","6.0","24","5","1","1","0","1","0","0","0","0","2","60"
"2014-08-09","SEA","CHW","1","0","0","1.42","1","1","0","0","0","0","0","6.1","23","6","1","1","0","0","0","0","1","0","4","64"
"2014-08-02","SEA","@BAL","1","0","0","4.15","1","1","0","0","0","0","0","4.1","19","4","2","2","1","3","0","0","0","0","5","42"
"2014-04-08","SEA","LAA","1","1","0","5.40","1","1","0","0","0","0","0","5.0","19","4","3","3","2","0","0","0","0","0","4","42"
"2014-04-02","SEA","@LAA","1","1","0","0.00","1","1","0","0","0","0","0","7.0","24","2","0","0","0","2","0","0","0","0","9","80"
"2013-09-24","SEA","KCR","1","1","0","0.00","1","1","0","0","0","0","0","7.0","24","4","0","0","0","0","0","0","0","0","10","83"
"2013-09-19","SEA","@DET","1","0","0","5.40","1","1","0","0","0","0","0","5.0","24","5","3","3","1","4","2","0","0","0","3","39"
"2013-09-14","SEA","@STL","1","1","0","0.00","1","1","0","0","0","0","0","6.0","22","2","0","0","0","2","0","0","0","0","5","72"
"2013-09-07","SEA","TBR","1","1","0","1.50","1","1","0","0","0","0","0","6.0","24","4","2","1","1","1","0","0","0","0","3","56"
